"","locus_tag","ftype","length_bp","gene","EC_number","COG","product","KO_ID"
"1596","KKOIIGHA_02440","CDS",1818,"dnaG","2.7.7.101","","DNA primase","K02316"
"1597","KKOIIGHA_02441","CDS",1863,"rpoD","","","RNA polymerase sigma factor RpoD","K03086"
"1598","KKOIIGHA_02442","CDS",936,"gcvA_2","","COG0583","Glycine cleavage system transcriptional activator","K03566"
"1599","KKOIIGHA_02443","CDS",1380,"sdaA","4.3.1.17","COG1760","L-serine dehydratase 1","K01752"
"1600","KKOIIGHA_02446","CDS",1110,"frmA","1.1.1.284","COG1062","S-(hydroxymethyl)glutathione dehydrogenase","K00121"
"1601","KKOIIGHA_02447","CDS",855,"yeiG","3.1.2.12","COG0627","S-formylglutathione hydrolase YeiG","K01070"
"1602","KKOIIGHA_02448","CDS",1383,"mco","1.-.-.-","","Multicopper oxidase mco","K14588"
"1603","KKOIIGHA_02449","CDS",885,"btr","","COG0614","HTH-type transcriptional activator Btr","K18954"
"1604","KKOIIGHA_02450","CDS",1185,"pobA","1.14.13.2","","p-hydroxybenzoate hydroxylase","K00481"
"1605","KKOIIGHA_02451","CDS",846,"","","","hypothetical protein","K10716"
"1606","KKOIIGHA_02455","CDS",672,"carR","","","Response regulator protein CarR","K02483"
"1607","KKOIIGHA_02458","CDS",1311,"","","","Mannitol-binding protein","K10227"
"1608","KKOIIGHA_02459","CDS",888,"sugA","","COG1175","Trehalose transport system permease protein SugA","K10228"
"1609","KKOIIGHA_02460","CDS",822,"smoH","","COG0395","Sulfoquinovosyl glycerol transport system permease protein SmoH","K10229"
"1610","KKOIIGHA_02461","CDS",1146,"malK","7.5.2.1","","Maltose/maltodextrin import ATP-binding protein MalK","K10111"
"1611","KKOIIGHA_02463","CDS",789,"polS","1.1.1.-","","Sorbitol dehydrogenase","K21620"
"1612","KKOIIGHA_02465","CDS",1488,"mtlK_1","1.1.1.67","","Mannitol 2-dehydrogenase","K00045"
"1613","KKOIIGHA_02466","CDS",954,"talB_1","2.2.1.2","COG0176","Transaldolase B","K00616"
"1614","KKOIIGHA_02467","CDS",1473,"mtlK_2","1.1.1.67","","Mannitol 2-dehydrogenase","K00045"
"1615","KKOIIGHA_02468","CDS",1497,"xylB","2.7.1.17","","Xylulose kinase","K00854"
"1616","KKOIIGHA_02469","CDS",954,"talB_2","2.2.1.2","COG0176","Transaldolase B","K00616"
"1617","KKOIIGHA_02476","CDS",1635,"ectT","","","Ectoine/hydroxyectoine transporter","K05020"
"1618","KKOIIGHA_02478","CDS",1503,"bauC_2","1.2.1.27","","Malonate-semialdehyde dehydrogenase","K00140"
"1619","KKOIIGHA_02479","CDS",1065,"aguA_2","3.5.3.12","","Agmatine deiminase","K10536"
"1620","KKOIIGHA_02482","CDS",2295,"dinG_4","3.1.-.-","","3'-5' exonuclease DinG","K10844"
"1621","KKOIIGHA_02483","CDS",288,"glcB_2","2.3.3.9","COG2225","Malate synthase G","K01638"
"1622","KKOIIGHA_02486","CDS",1482,"alsT","","COG1115","Amino-acid carrier protein AlsT","K03310"
"1623","KKOIIGHA_02487","CDS",201,"","","","hypothetical protein","K03154"
"1624","KKOIIGHA_02488","CDS",798,"thiG","2.8.1.10","","Thiazole synthase","K03149"
"1625","KKOIIGHA_02489","CDS",729,"trmB_2","2.1.1.33","COG0220","tRNA (guanine-N(7)-)-methyltransferase","K03439"
"1626","KKOIIGHA_02490","CDS",918,"","","","hypothetical protein","K13936"
"1627","KKOIIGHA_02492","CDS",753,"mip","5.2.1.8","COG0545","Outer membrane protein MIP","K03773"
"1628","KKOIIGHA_02493","CDS",1023,"teaA","","COG1638","Ectoine-binding periplasmic protein TeaA","K11688"
"1629","KKOIIGHA_02494","CDS",1284,"teaC","","COG1593","Ectoine TRAP transporter large permease protein TeaC","K11690"
"1630","KKOIIGHA_02497","CDS",1920,"yheS","","COG0488","putative ATP-binding protein YheS","K06158"
"1631","KKOIIGHA_02500","CDS",438,"dtd","3.1.1.96","COG1490","D-aminoacyl-tRNA deacylase","K07560"
"1632","KKOIIGHA_02502","CDS",813,"thiD","2.7.1.49","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","K00941"
"1633","KKOIIGHA_02504","CDS",408,"nuoA","7.1.1.-","COG0838","NADH-quinone oxidoreductase subunit A","K00330"
"1634","KKOIIGHA_02505","CDS",681,"nuoB","7.1.1.-","COG0377","NADH-quinone oxidoreductase subunit B","K00331"
"1635","KKOIIGHA_02506","CDS",1785,"nuoC","7.1.1.-","COG0649","NADH-quinone oxidoreductase subunit C/D","K13378"
"1636","KKOIIGHA_02507","CDS",504,"nuoE_2","7.1.1.-","COG1905","NADH-quinone oxidoreductase subunit E","K00334"
"1637","KKOIIGHA_02508","CDS",1359,"nuoF","7.1.1.-","COG1894","NADH-quinone oxidoreductase subunit F","K00335"
"1638","KKOIIGHA_02509","CDS",2748,"nuoG","7.1.1.-","COG1034","NADH-quinone oxidoreductase subunit G","K00336"
"1639","KKOIIGHA_02510","CDS",981,"nuoH","7.1.1.-","COG1005","NADH-quinone oxidoreductase subunit H","K00337"
"1640","KKOIIGHA_02511","CDS",540,"nuoI","7.1.1.-","COG1143","NADH-quinone oxidoreductase subunit I","K00338"
"1641","KKOIIGHA_02512","CDS",546,"nuoJ","7.1.1.-","COG0839","NADH-quinone oxidoreductase subunit J","K00339"
"1642","KKOIIGHA_02513","CDS",309,"nuoK","7.1.1.-","COG0713","NADH-quinone oxidoreductase subunit K","K00340"
"1643","KKOIIGHA_02514","CDS",1860,"nuoL","7.1.1.-","COG1009","NADH-quinone oxidoreductase subunit L","K00341"
"1644","KKOIIGHA_02515","CDS",1548,"nuoM","7.1.1.-","COG1008","NADH-quinone oxidoreductase subunit M","K00342"
"1645","KKOIIGHA_02516","CDS",1449,"nuoN","7.1.1.-","COG1007","NADH-quinone oxidoreductase subunit N","K00343"
"1646","KKOIIGHA_02517","CDS",1407,"dctM_7","","","C4-dicarboxylate TRAP transporter large permease protein DctM","K11690"
"1647","KKOIIGHA_02518","CDS",558,"","","","hypothetical protein","K11689"
"1648","KKOIIGHA_02520","CDS",633,"dsbA","","","Thiol:disulfide interchange protein DsbA","K03673"
"1649","KKOIIGHA_02521","CDS",618,"engB","","COG0218","putative GTP-binding protein EngB","K03978"
"1650","KKOIIGHA_02522","CDS",705,"yigB","3.1.3.104","COG1011","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB","K20862"
"1651","KKOIIGHA_02523","CDS",930,"xerC_3","","COG4973","Tyrosine recombinase XerC","K03733"
"1652","KKOIIGHA_02525","CDS",837,"dapF","5.1.1.7","COG0253","Diaminopimelate epimerase","K01778"
"1653","KKOIIGHA_02526","CDS",1269,"lysA","4.1.1.20","COG0019","Diaminopimelate decarboxylase","K01586"
"1654","KKOIIGHA_02528","CDS",1407,"argH","4.3.2.1","","Argininosuccinate lyase","K01755"
"1655","KKOIIGHA_02529","CDS",948,"hemC","2.5.1.61","COG0181","Porphobilinogen deaminase","K01749"
"1656","KKOIIGHA_02530","CDS",789,"hemD","4.2.1.75","","Uroporphyrinogen-III synthase","K01719"
"1657","KKOIIGHA_02532","CDS",1224,"hemY","","COG3071","Protein HemY","K02498"
"1658","KKOIIGHA_02533","CDS",1368,"adeQ","","COG2252","Adenine permease AdeQ","K06901"
"1659","KKOIIGHA_02534","CDS",2361,"ybiO","","COG0668","Moderate conductance mechanosensitive channel YbiO","K22044"
"1660","KKOIIGHA_02535","CDS",198,"","","","hypothetical protein","K06187"
"1661","KKOIIGHA_02539","CDS",429,"fur","","","Ferric uptake regulation protein","K03711"
"1662","KKOIIGHA_02540","CDS",519,"bamE","","","Outer membrane protein assembly factor BamE","K06186"
"1663","KKOIIGHA_02541","CDS",300,"","","","hypothetical protein","K09801"
"1664","KKOIIGHA_02543","CDS",480,"smpB","","COG0691","SsrA-binding protein","K03664"
"1665","KKOIIGHA_02551","CDS",855,"","","","hypothetical protein","K02002"
"1666","KKOIIGHA_02554","CDS",876,"rfbA","2.7.7.24","COG1209","Glucose-1-phosphate thymidylyltransferase 1","K00973"
"1667","KKOIIGHA_02555","CDS",576,"rmlC","5.1.3.13","","dTDP-4-dehydrorhamnose 3,5-epimerase","K01790"
"1668","KKOIIGHA_02556","CDS",1002,"rfbD","1.1.1.133","","dTDP-4-dehydrorhamnose reductase","K00067"
"1669","KKOIIGHA_02558","CDS",1260,"rffG","4.2.1.46","COG1088","dTDP-glucose 4,6-dehydratase 2","K01710"
"1670","KKOIIGHA_02559","CDS",789,"cysQ_1","3.1.3.7","","3'(2'),5'-bisphosphate nucleotidase CysQ","K01082"
"1671","KKOIIGHA_02560","CDS",519,"cysC","2.7.1.25","COG0529","Adenylyl-sulfate kinase","K00955"
"1672","KKOIIGHA_02561","CDS",291,"","","","hypothetical protein","K11690"
"1673","KKOIIGHA_02562","CDS",1149,"dgoD","4.2.1.6","COG4948","D-galactonate dehydratase","K01684"
"1674","KKOIIGHA_02563","CDS",687,"dgoA","4.1.2.21","COG0800","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","K01631"
"1675","KKOIIGHA_02564","CDS",912,"dgoK","2.7.1.58","COG3734","2-dehydro-3-deoxygalactonokinase","K00883"
"1676","KKOIIGHA_02565","CDS",513,"gntK","2.7.1.12","COG3265","Thermoresistant gluconokinase","K00851"
"1677","KKOIIGHA_02566","CDS",879,"yedP","3.1.3.70","COG3769","Mannosyl-3-phosphoglycerate phosphatase","K07026"
"1678","KKOIIGHA_02568","CDS",1254,"","","","hypothetical protein","K17218"
"1679","KKOIIGHA_02569","CDS",462,"","","COG2391","putative transporter","K07112"
"1680","KKOIIGHA_02570","CDS",414,"","","COG2391","putative transporter","K07112"
"1681","KKOIIGHA_02571","CDS",678,"qseB","","COG0745","Transcriptional regulatory protein QseB","K07666"
"1682","KKOIIGHA_02572","CDS",1308,"qseC_2","2.7.13.3","COG0642","Sensor protein QseC","K07645"
"1683","KKOIIGHA_02573","CDS",783,"dsbG","","COG1651","Thiol:disulfide interchange protein DsbG","K03805"
"1684","KKOIIGHA_02574","CDS",2010,"dsbD_1","1.8.1.8","COG4232","Thiol:disulfide interchange protein DsbD","K04084"
"1685","KKOIIGHA_02575","CDS",909,"cdhC","2.3.1.317","","3-dehydrocarnitine:acetyl-CoA trimethylamine transferase","K27837"
"1686","KKOIIGHA_02576","CDS",954,"cdhA","1.1.1.108","","L-carnitine dehydrogenase","K17735"
"1687","KKOIIGHA_02577","CDS",492,"cdhB","3.1.2.33","","Betainyl-CoA thioesterase","K27492"
"1688","KKOIIGHA_02580","CDS",1335,"","","","hypothetical protein","K07258"
"1689","KKOIIGHA_02581","CDS",2055,"betT","","COG1292","High-affinity choline transport protein","K02168"
"1690","KKOIIGHA_02582","CDS",3108,"swrC_2","","COG0841","Swarming motility protein SwrC","K18138"
"1691","KKOIIGHA_02584","CDS",927,"lysO","","COG2431","Lysine exporter LysO","K28370"
"1692","KKOIIGHA_02586","CDS",561,"yhbO_2","3.1.2.-","COG0693","Protein/nucleic acid deglycase 2","K05520"
"1693","KKOIIGHA_02587","CDS",762,"yadH_2","","COG0842","Inner membrane transport permease YadH","K01992"
"1694","KKOIIGHA_02588","CDS",984,"yadG_2","","COG1131","putative ABC transporter ATP-binding protein YadG","K01990"
"1695","KKOIIGHA_02592","CDS",930,"ghrA","1.1.1.79","","Glyoxylate/hydroxypyruvate reductase A","K12972"
"1696","KKOIIGHA_02594","CDS",1200,"doeA_2","3.5.4.44","COG0006","Ectoine hydrolase","K15783"
"1697","KKOIIGHA_02595","CDS",1032,"doeB","3.5.1.125","COG3608","N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase","K15784"
"1698","KKOIIGHA_02596","CDS",471,"lrp_2","","COG1522","Leucine-responsive regulatory protein","K03719"
"1699","KKOIIGHA_02597","CDS",774,"fdhD_2","","COG1526","Sulfur carrier protein FdhD","K02379"
"1700","KKOIIGHA_02598","CDS",1470,"gabD_1","1.2.1.79","COG1012","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD","K00135"
"1701","KKOIIGHA_02599","CDS",1413,"spuC_2","2.6.1.113","","Putrescine--pyruvate aminotransferase","K15785"
"1702","KKOIIGHA_02600","CDS",1002,"tdcB","4.3.1.19","COG1171","L-threonine ammonia-lyase","K01754"
"1703","KKOIIGHA_02602","CDS",951,"argC","1.2.1.38","COG0002","N-acetyl-gamma-glutamyl-phosphate reductase","K00145"
"1704","KKOIIGHA_02604","CDS",666,"fbpC2","7.2.2.7","COG3842","Fe(3+) ions import ATP-binding protein FbpC 2","K05779"
"1705","KKOIIGHA_02605","CDS",1686,"","","","hypothetical protein","K05778"
"1706","KKOIIGHA_02606","CDS",1221,"ynjB_2","","COG4134","Protein YnjB","K05777"
"1707","KKOIIGHA_02608","CDS",1485,"","","","hypothetical protein","K07403"
"1708","KKOIIGHA_02611","CDS",1449,"gabD_2","1.2.1.79","COG1012","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD","K00135"
"1709","KKOIIGHA_02612","CDS",1428,"bcaP_2","","COG0531","Branched-chain amino acid permease BcaP","K03294"
"1710","KKOIIGHA_02613","CDS",1485,"hisC_1","2.6.1.9","","Histidinol-phosphate aminotransferase","K00375"
"1711","KKOIIGHA_02614","CDS",1197,"lhgD_2","1.1.5.13","COG0579","L-2-hydroxyglutarate dehydrogenase","K15736"
"1712","KKOIIGHA_02615","CDS",963,"glaH","1.14.11.64","","Glutarate 2-hydroxylase","K15737"
"1713","KKOIIGHA_02616","CDS",690,"glaR_2","","COG1802","HTH-type transcriptional repressor GlaR","K15735"
"1714","KKOIIGHA_02618","CDS",1491,"dauA","","COG0659","C4-dicarboxylic acid transporter DauA","K03321"
"1715","KKOIIGHA_02622","CDS",1779,"prsD","","COG4618","Type I secretion system ATP-binding protein PrsD","K12536"
"1716","KKOIIGHA_02623","CDS",1377,"prsE","","COG0845","Type I secretion system membrane fusion protein PrsE","K12537"
"1717","KKOIIGHA_02624","CDS",1545,"tolC_2","","COG1538","Outer membrane protein TolC","K12340"
"1718","KKOIIGHA_02628","CDS",852,"tagA","2.4.1.187","COG1922","N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase","K05946"
"1719","KKOIIGHA_02630","CDS",981,"gmd","4.2.1.47","","GDP-mannose 4,6-dehydratase","K01711"
"1720","KKOIIGHA_02632","CDS",687,"","","","hypothetical protein","K09690"
"1721","KKOIIGHA_02633","CDS",1227,"btuD_3","7.6.2.8","","Vitamin B12 import ATP-binding protein BtuD","K09691"
"1722","KKOIIGHA_02637","CDS",1827,"","","","hypothetical protein","K01768"
"1723","KKOIIGHA_02638","CDS",645,"vfr","","","cAMP-activated global transcriptional regulator Vfr","K10914"
"1724","KKOIIGHA_02647","CDS",393,"","","","hypothetical protein","K07726"
"1725","KKOIIGHA_02650","CDS",285,"","","","hypothetical protein","K07726"
"1726","KKOIIGHA_02655","CDS",525,"","","","hypothetical protein","K03630"
"1727","KKOIIGHA_02656","CDS",948,"rpnA","3.1.21.-","COG5464","Recombination-promoting nuclease RpnA","K24090"
"1728","KKOIIGHA_02658","CDS",207,"","","","hypothetical protein","K03630"
"1729","KKOIIGHA_02661","CDS",852,"","","","IS3 family transposase ISAzs33","K07497"
"1730","KKOIIGHA_02663","CDS",1608,"","","","IS66 family transposase ISSal1","K07484"
"1731","KKOIIGHA_02664","CDS",336,"","","","hypothetical protein","K07484"
"1732","KKOIIGHA_02672","CDS",2691,"","","","hypothetical protein","K02396"
"1733","KKOIIGHA_02679","CDS",585,"cysQ_2","3.1.3.7","COG1218","3'(2'),5'-bisphosphate nucleotidase CysQ","K01082"
"1734","KKOIIGHA_02684","CDS",957,"","","","hypothetical protein","K02002"
"1735","KKOIIGHA_02685","CDS",600,"betI","","COG1309","HTH-type transcriptional regulator BetI","K02167"
"1736","KKOIIGHA_02686","CDS",1470,"betB","1.2.1.8","","NAD/NADP-dependent betaine aldehyde dehydrogenase","K00130"
"1737","KKOIIGHA_02687","CDS",1692,"betA","1.1.99.1","COG2303","Oxygen-dependent choline dehydrogenase","K00108"
"1738","KKOIIGHA_02688","CDS",2451,"fadE","1.3.8.7","","Acyl-coenzyme A dehydrogenase","K06445"
"1739","KKOIIGHA_02689","CDS",978,"qorA","1.6.5.5","COG0604","Quinone oxidoreductase 1","K00344"
"1740","KKOIIGHA_02690","CDS",759,"kduD","1.1.1.127","COG1028","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","K00065"
"1741","KKOIIGHA_02692","CDS",756,"ugpQ_2","3.1.4.46","COG0584","Glycerophosphodiester phosphodiesterase, cytoplasmic","K01126"
"1742","KKOIIGHA_02693","CDS",822,"pomA_1","","COG1291","Chemotaxis protein PomA","K02556"
"1743","KKOIIGHA_02694","CDS",642,"motB_1","","COG1360","Motility protein B","K02557"
"1744","KKOIIGHA_02695","CDS",1806,"btuB","","COG4206","Vitamin B12 transporter BtuB","K16092"
"1745","KKOIIGHA_02696","CDS",1611,"opgD","","COG3131","Glucans biosynthesis protein D","K03670"
"1746","KKOIIGHA_02697","CDS",1656,"panP","4.1.1.11","COG0076","Aspartate 1-decarboxylase","K24264"
"1747","KKOIIGHA_02700","CDS",600,"btuR","2.5.1.17","","Corrinoid adenosyltransferase CobA","K19221"
"1748","KKOIIGHA_02703","CDS",1281,"serS","6.1.1.11","","Serine--tRNA ligase","K01875"
"1749","KKOIIGHA_02704","CDS",3123,"ydiJ","1.1.99.39","COG0247","D-2-hydroxyglutarate dehydrogenase","K26063"
"1750","KKOIIGHA_02707","CDS",804,"trpC","4.1.1.48","","Indole-3-glycerol phosphate synthase","K01609"
"1751","KKOIIGHA_02708","CDS",1038,"trpD","2.4.2.18","COG0547","Anthranilate phosphoribosyltransferase","K00766"
"1752","KKOIIGHA_02710","CDS",1500,"trpE","4.1.3.27","","Anthranilate synthase component 1","K01657"
"1753","KKOIIGHA_02711","CDS",666,"gph","3.1.3.18","COG0546","Phosphoglycolate phosphatase","K01091"
"1754","KKOIIGHA_02712","CDS",1299,"ndh_2","1.6.5.9","COG1252","Type II NADH:quinone oxidoreductase","K03885"
"1755","KKOIIGHA_02713","CDS",378,"","","","hypothetical protein","K07461"
"1756","KKOIIGHA_02714","CDS",699,"rpe","5.1.3.1","COG0036","Ribulose-phosphate 3-epimerase","K01783"
"1757","KKOIIGHA_02715","CDS",1752,"ggt","3.4.19.13","COG0405","Glutathione hydrolase proenzyme","K00681"
"1758","KKOIIGHA_02718","CDS",654,"tpm_2","2.1.1.67","","Thiopurine S-methyltransferase","K00569"
"1759","KKOIIGHA_02719","CDS",633,"","","","hypothetical protein","K07184"
"1760","KKOIIGHA_02721","CDS",1380,"miaB","2.8.4.3","COG0621","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","K06168"
"1761","KKOIIGHA_02722","CDS",1089,"ybeZ","","COG1702","PhoH-like protein","K06217"
"1762","KKOIIGHA_02723","CDS",534,"ybeY","3.1.-.-","COG0319","Endoribonuclease YbeY","K07042"
"1763","KKOIIGHA_02724","CDS",882,"corC","","","Magnesium and cobalt efflux protein CorC","K06189"
"1764","KKOIIGHA_02725","CDS",1485,"lnt","2.3.1.269","","Apolipoprotein N-acyltransferase","K03820"
"1765","KKOIIGHA_02727","CDS",2622,"leuS","6.1.1.4","COG0495","Leucine--tRNA ligase","K01869"
"1766","KKOIIGHA_02728","CDS",507,"lptE","","","LPS-assembly lipoprotein LptE","K03643"
"1767","KKOIIGHA_02729","CDS",1059,"holA","2.7.7.7","COG1466","DNA polymerase III subunit delta","K02340"
"1768","KKOIIGHA_02730","CDS",1407,"nhaC","","COG1757","Na(+)/H(+) antiporter NhaC","K03315"
"1769","KKOIIGHA_02731","CDS",666,"osmW","","","Osmoprotectant import permease protein OsmW","K05846"
"1770","KKOIIGHA_02732","CDS",1167,"osmV","7.6.2.-","","Osmoprotectant import ATP-binding protein OsmV","K05847"
"1771","KKOIIGHA_02733","CDS",732,"osmY","","","Osmoprotectant import permease protein OsmY","K05846"
"1772","KKOIIGHA_02734","CDS",891,"osmX","","","Osmoprotectant-binding protein OsmX","K05845"
"1773","KKOIIGHA_02740","CDS",618,"pgsA","2.7.8.5","COG0558","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","K00995"
"1774","KKOIIGHA_02741","CDS",1815,"uvrC","","COG0322","UvrABC system protein C","K03703"
"1775","KKOIIGHA_02742","CDS",648,"gacA","","COG2197","Response regulator GacA","K07689"
"1776","KKOIIGHA_02747","CDS",690,"bioD1","6.3.3.3","COG0132","ATP-dependent dethiobiotin synthetase BioD 1","K01935"
"1777","KKOIIGHA_02748","CDS",813,"bioC","2.1.1.197","","Malonyl-[acyl-carrier protein] O-methyltransferase","K02169"
"1778","KKOIIGHA_02749","CDS",723,"bioH_2","3.1.1.85","","Pimeloyl-[acyl-carrier protein] methyl ester esterase","K02170"
"1779","KKOIIGHA_02750","CDS",1167,"bioF","2.3.1.47","","8-amino-7-oxononanoate synthase","K00652"
"1780","KKOIIGHA_02751","CDS",1056,"bioB","2.8.1.6","COG0502","Biotin synthase","K01012"
"1781","KKOIIGHA_02755","CDS",1458,"davD_2","1.2.1.-","","Glutarate-semialdehyde dehydrogenase","K00135"
"1782","KKOIIGHA_02756","CDS",1593,"purH","","COG0138","Bifunctional purine biosynthesis protein PurH","K00602"
"1783","KKOIIGHA_02757","CDS",300,"","","","Putative Fis-like DNA-binding protein","K03557"
"1784","KKOIIGHA_02758","CDS",1029,"dusB","1.3.1.-","COG0042","tRNA-dihydrouridine synthase B","K05540"
"1785","KKOIIGHA_02759","CDS",906,"prmA","2.1.1.-","COG2264","Ribosomal protein L11 methyltransferase","K02687"
"1786","KKOIIGHA_02760","CDS",1341,"accC","6.3.4.14","","Biotin carboxylase","K01961"
"1787","KKOIIGHA_02761","CDS",456,"accB","","COG0511","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","K02160"
"1788","KKOIIGHA_02763","CDS",1938,"dsbD_2","1.8.1.8","","Thiol:disulfide interchange protein DsbD","K04084"
"1789","KKOIIGHA_02765","CDS",531,"ppa","3.6.1.1","","Inorganic pyrophosphatase","K01507"
"1790","KKOIIGHA_02767","CDS",1260,"pfp","2.7.1.90","COG0205","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase","K21071"
"1791","KKOIIGHA_02768","CDS",1368,"mpl","6.3.2.45","COG0773","UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase","K02558"
"1792","KKOIIGHA_02769","CDS",621,"ubiX","2.5.1.129","","Flavin prenyltransferase UbiX","K03186"
"1793","KKOIIGHA_02770","CDS",624,"rhtB_3","","COG1280","Homoserine/homoserine lactone efflux protein","K05834"
"1794","KKOIIGHA_02774","CDS",1278,"proA","1.2.1.41","","Gamma-glutamyl phosphate reductase","K00147"
"1795","KKOIIGHA_02775","CDS",642,"nadD","2.7.7.18","","putative nicotinate-nucleotide adenylyltransferase","K00969"
"1796","KKOIIGHA_02776","CDS",363,"rsfS","","","Ribosomal silencing factor RsfS","K09710"
"1797","KKOIIGHA_02777","CDS",468,"rlmH","2.1.1.177","COG1576","Ribosomal RNA large subunit methyltransferase H","K00783"
"1798","KKOIIGHA_02778","CDS",1893,"mrdA","3.4.16.4","COG0768","Peptidoglycan D,D-transpeptidase MrdA","K05515"
"1799","KKOIIGHA_02779","CDS",1146,"mrdB","2.4.99.28","COG0772","Peptidoglycan glycosyltransferase MrdB","K05837"
"1800","KKOIIGHA_02780","CDS",1035,"","","","Tn3 family transposase TnXax1","K08305"
"1801","KKOIIGHA_02781","CDS",963,"rlpA","4.2.2.-","","Endolytic peptidoglycan transglycosylase RlpA","K03642"
"1802","KKOIIGHA_02782","CDS",1224,"dacA","3.4.16.4","COG1686","D-alanyl-D-alanine carboxypeptidase DacA","K07258"
"1803","KKOIIGHA_02783","CDS",312,"","","","hypothetical protein","K09158"
"1804","KKOIIGHA_02784","CDS",654,"lipB","2.3.1.181","COG0321","Octanoyltransferase","K03801"
"1805","KKOIIGHA_02785","CDS",1053,"lipA","2.8.1.8","","Lipoyl synthase","K03644"
"1806","KKOIIGHA_02791","CDS",1194,"amtB","","COG0004","Ammonium transporter AmtB","K03320"
"1807","KKOIIGHA_02793","CDS",477,"mgsA","4.2.3.3","COG1803","Methylglyoxal synthase","K01734"
"1808","KKOIIGHA_02794","CDS",303,"pykA_2","2.7.1.40","COG0469","Pyruvate kinase II","K00873"
"1809","KKOIIGHA_02796","CDS",1674,"recN","","COG0497","DNA repair protein RecN","K03631"
"1810","KKOIIGHA_02797","CDS",621,"grpE","","","Protein GrpE","K03687"
"1811","KKOIIGHA_02798","CDS",1935,"dnaK_1","","COG0443","Chaperone protein DnaK","K04043"
"1812","KKOIIGHA_02799","CDS",1146,"dnaJ","","COG0484","Chaperone protein DnaJ","K03686"
"1813","KKOIIGHA_02803","CDS",828,"dapB","1.17.1.8","","4-hydroxy-tetrahydrodipicolinate reductase","K00215"
"1814","KKOIIGHA_02804","CDS",1146,"carA","6.3.5.5","COG0505","Carbamoyl phosphate synthase small chain","K01956"
"1815","KKOIIGHA_02805","CDS",3231,"carB","6.3.4.16","COG0458","Carbamoyl phosphate synthase large chain","K01955"
"1816","KKOIIGHA_02806","CDS",477,"greA","","COG0782","Transcription elongation factor GreA","K03624"
"1817","KKOIIGHA_02807","CDS",327,"","","COG1534","RNA-binding protein","K07574"
"1818","KKOIIGHA_02808","CDS",648,"rlmE","2.1.1.166","COG0293","Ribosomal RNA large subunit methyltransferase E","K02427"
"1819","KKOIIGHA_02809","CDS",1965,"ftsH","3.4.24.-","COG0465","ATP-dependent zinc metalloprotease FtsH","K03798"
"1820","KKOIIGHA_02810","CDS",864,"folP","2.5.1.15","COG0294","Dihydropteroate synthase","K00796"
"1821","KKOIIGHA_02811","CDS",1350,"glmM","5.4.2.10","COG1109","Phosphoglucosamine mutase","K03431"
"1822","KKOIIGHA_02812","CDS",750,"tpiA","5.3.1.1","COG0149","Triosephosphate isomerase","K01803"
"1823","KKOIIGHA_02813","CDS",363,"secG","","COG1314","Protein-export membrane protein SecG","K03075"
"1824","KKOIIGHA_02816","CDS",462,"rimP","","COG0779","Ribosome maturation factor RimP","K09748"
"1825","KKOIIGHA_02817","CDS",1494,"nusA","","COG0195","Transcription termination/antitermination protein NusA","K02600"
"1826","KKOIIGHA_02818","CDS",2511,"infB","","COG0532","Translation initiation factor IF-2","K02519"
"1827","KKOIIGHA_02819","CDS",402,"rbfA","","COG0858","30S ribosome-binding factor","K02834"
"1828","KKOIIGHA_02820","CDS",903,"truB","5.4.99.25","COG0130","tRNA pseudouridine synthase B","K03177"
"1829","KKOIIGHA_02821","CDS",270,"rpsO","","","Small ribosomal subunit protein uS15","K02956"
"1830","KKOIIGHA_02822","CDS",2124,"pnp","2.7.7.8","","Polyribonucleotide nucleotidyltransferase","K00962"
"1831","KKOIIGHA_02823","CDS",1059,"hisC_2","2.6.1.9","COG0079","Histidinol-phosphate aminotransferase","K00817"
"1832","KKOIIGHA_02824","CDS",1179,"atoB","2.3.1.9","","Acetyl-CoA acetyltransferase","K00626"
"1833","KKOIIGHA_02825","CDS",852,"panC","6.3.2.1","COG0414","Pantothenate synthetase","K01918"
"1834","KKOIIGHA_02826","CDS",792,"panB","2.1.2.11","COG0413","3-methyl-2-oxobutanoate hydroxymethyltransferase","K00606"
"1835","KKOIIGHA_02827","CDS",501,"","","","hypothetical protein","K00950"
"1836","KKOIIGHA_02828","CDS",1410,"pcnB","2.7.7.19","COG0617","Poly(A) polymerase I","K00970"
"1837","KKOIIGHA_02832","CDS",888,"gluQ","6.1.1.-","COG0008","Glutamyl-Q tRNA(Asp) synthetase","K01894"
